title,score,director,genre
a love story,3.571157495256167,maryo j. de los reyes,"dramas, international movies, romantic movies"
a love that hurts,3.537578288100209,walter v marshall,"drama, romance, special interest"
a man for the week end,3.5571142284569137,achille brice,"comedies, dramas, international movies"
a man possessed,3.5556701030927833,amel j. figueroa,"action, suspense"
a marriage of convenience,3.5518358531317493,james keach,"drama, kids, romance"
a memory in my heart,3.5133843212237093,harry winer,"drama, suspense"
a mighty heart,3.579331941544885,michael winterbottom,drama
a mighty team,3.5285714285714285,thomas sorriaux,"comedies, international movies, sports movies"
a mile in his shoes,3.5011210762331837,william dear,"drama, sports"
a million hits,3.640256959314775,janet harvey,"action, drama"
a mind of her own,3.548218029350105,owen carey jones,drama
a mission in an old movie,3.537644787644788,ahmad el-badri,"comedies, international movies"
a monkey's tale,3.5839002267573696,jean-francois laguionie,animation
a monster calls,3.508506616257089,j.a. bayona,"dramas, sci-fi & fantasy"
a most beautiful thing,3.5737704918032787,mary mazzio,"documentary, sports"
a most violent year,3.5,j.c. chandor,"dramas, thrillers"
a mother's escape,3.5303643724696356,blair hayes,suspense
a mother's nightmare,3.6008583690987126,vic sarin,"drama, suspense"
a mothers testimony,3.522075055187638,julian chojnacki,drama
a muppets christmas: letters to santa,3.6091101694915255,kirk r. thatcher,"comedy, family, musical"
a murder in the park,3.601713062098501,"christopher s. rech, brandon kimber",documentaries
a new husband for christmas,3.5793991416309012,derrick c. mullen,"comedy, romance, special interest"
a new york christmas wedding,3.566265060240964,otoja abit,"dramas, lgbtq movies, romantic movies"
a night at the roxbury,3.552016985138004,john fortenberry,"comedy, young adult audience"
a night in old mexico,3.4814814814814814,emilio aragón,"action, drama, western"
a night in versailles,3.5365853658536586,bruno podalydes,"comedy, international"
a noble intention,3.618951612903226,joram lürsen,"dramas, international movies"
a nun's curse,3.5020746887966805,tommy faircloth,"horror, suspense"
a one-hour world tour,3.544230769230769,mark knight,special interest
a patch of fog,3.620842572062084,michael lennox,"dramas, thrillers"
a patriot's day,3.5740365111561867,jason campbell,"drama, kids, special interest"
a perfect day,3.532751091703057,peter levin,drama
a perfect day for arsenide,3.55327868852459,sunny lau,"classic & cult tv, crime tv shows, international tv shows"
a perfect ending,3.515682656826568,nicole conn,"dramas, independent movies, lgbtq movies"
a perfect enemy,3.4856262833675564,kike maíllo,"action, suspense"
a perfect fit,3.443991853360489,hadrah daeng ratu,"comedies, dramas, international movies"
a perfect man,3.565934065934066,kees van oostrum,"dramas, independent movies, romantic movies"
a pigeon sat on a branch reflecting on existence,3.5474137931034484,roy andersson,"comedy, drama"
a place at the table,3.507592190889371,"kristi jacobson, lori silverbush","documentary, special interest"
a place in the stars,3.5614583333333334,steve gukas,"dramas, international movies, thrillers"
a place in the sun,3.5773092369477912,george stevens,drama
a pre-opening report from disneyland,3.5615384615384613,wilfred jackson,"documentary, family, historical"
